Date,Open,High,Low,Close,Adj Close,Volume
3/28/2019,44950,45200,44300,44850,40754.08984,6821306
3/29/2019,44500,44900,44200,44650,40572.35938,11491713
4/1/2019,45200,45450,44850,45050,40935.82813,7362129
4/2/2019,45550,46100,45350,45750,41571.90625,9480688
4/3/2019,46750,46750,45800,46600,42344.27344,12436570
4/4/2019,46150,47100,46150,46950,42662.30469,12650168
4/5/2019,46950,47550,46600,46850,42571.44531,8546339
4/8/2019,47250,47250,46150,46650,42389.71094,8507909
4/9/2019,46700,46950,46200,46650,42389.71094,6878761
4/10/2019,46400,46700,46050,46700,42435.14063,11883995
4/11/2019,46700,46800,46150,46250,42026.23047,13697399
4/12/2019,46050,46900,46000,46850,42571.44531,7668936
4/15/2019,47150,47500,47000,47050,42753.17969,8733019
4/16/2019,47400,47400,46800,47250,42934.91016,7730881
4/17/2019,47300,47600,47000,47050,42753.17969,5513658
4/18/2019,47200,47250,45500,45600,41435.60156,12808747
4/19/2019,45750,46000,45250,45300,41162.99219,8479710
4/22/2019,45400,45900,45100,45350,41208.43359,6006957
4/23/2019,45050,45500,45000,45200,41072.13281,6920566
4/24/2019,45400,45650,44150,44750,40663.22656,13299267
4/25/2019,44250,45000,44100,44650,40572.35938,10868965
4/26/2019,44200,45000,43800,44850,40754.08984,9739982
4/29/2019,45150,46150,45100,46150,41935.37109,8777517
4/30/2019,46000,46300,45350,45850,41662.77344,11121273
5/2/2019,45500,46150,45400,45900,41708.21094,8625126
5/3/2019,45900,46050,45300,45300,41162.99219,6562916
5/7/2019,45250,45300,44400,44850,40754.08984,12014907
5/8/2019,44300,44850,44200,44250,40208.89063,10398754
5/9/2019,43900,44250,42450,42450,38573.26563,23029718
5/10/2019,42600,43450,42450,42900,38982.17578,14579512
5/13/2019,42500,43200,42350,42650,38755.01172,7635079
5/14/2019,41300,43100,41300,42650,38755.01172,11563730
5/15/2019,42700,43050,42550,42550,38664.14453,7670185
5/16/2019,42350,42400,41350,41550,37755.46875,13687828
5/17/2019,41950,42050,40850,41200,37437.42969,13357951
5/20/2019,41650,42100,41550,42000,38164.37109,15752397
5/21/2019,42600,43950,42350,43150,39209.34375,18812133
5/22/2019,43700,43800,42400,43500,39527.38281,11033339
5/23/2019,43900,44000,43250,43850,39845.42188,12259006
5/24/2019,43800,43800,42400,42700,38800.44922,13966305
5/27/2019,42500,43000,42350,42650,38755.01172,8066669
5/28/2019,42550,42950,42150,42550,38664.14453,24506881
5/29/2019,41850,42100,41300,41800,37982.63672,14930618
5/30/2019,42200,42700,42150,42550,38664.14453,11766018
5/31/2019,42600,42800,42150,42500,38618.71094,11365999
6/3/2019,42950,43900,42500,43800,39799.98828,15466580
6/4/2019,43400,43700,43000,43450,39481.94922,9913497
6/5/2019,44050,44200,43700,43900,39890.85547,12464135
6/7/2019,43600,44350,43450,44200,40163.45313,11683682
6/10/2019,44300,44850,44050,44800,40708.66016,8792182
6/11/2019,44800,45000,44550,44850,40754.08984,6664872
6/12/2019,44800,45050,44300,44600,40526.91797,8607439
6/13/2019,44200,44400,43400,43750,39754.55078,16906541
6/14/2019,43750,44150,43300,44000,39981.71875,9322873
6/17/2019,43750,44050,43400,43900,39890.85547,11890424
